"Ts","BBADs","BEXEs","Tf","BBADf","BEXEf","Qbase","Qmax","Cs","Cf","theta","halfup","lambda","Qt"
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,29.7079914145714,12.1,0.57822888589398,0.78911444294699,0.57822888589398,636.051774483378
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,27.2527855125407,11.1,0.530441374663073,0.765220687331536,0.530441374663073,583.48551212938
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,28.9714296439622,11.8,0.563892632524708,0.781946316262354,0.563892632524708,620.281895777179
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,29.4624708243683,12,0.57345013477089,0.786725067385445,0.57345013477089,620.281895777179
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,22.0968531182762,9,0.430087601078167,0.715043800539084,1e-08,1.1e-05
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,22.3423737084793,9.1,0.434866352201258,0.717433176100629,1e-08,1.1e-05
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,33.3908002676174,13.6,0.649910152740341,0.82495507637017,0.649910152740341,714.901168014376
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,49.8406798112231,20.3,0.970086477987422,0.98504323899371,0.970086477987422,1067.09512578616
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,61.8711887311734,25.2,1.20424528301887,1.10212264150943,1,1067.09512578616
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,59.4159828291427,24.2,1.15645777178796,1.07822888589398,1,1067.09512578616
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,58.4339004683305,23.8,1.13734276729560,1.0686713836478,1.13734276729560,1251.07704402516
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,13.3,18.7,0.616898563006355,0.808449281503178,0.616898563006355,678.588419306991
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,21.5,15.1,0.589443566021562,0.794721783010781,0.589443566021562,678.588419306991
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,29.9,15.1,0.660720683698437,0.830360341849218,0.660720683698437,726.79275206828
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,60.4,22.4,1.116290002487,1.0581450012435,1,1100
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,97.4,32.1,1.6917042607178,1.3458521303589,1.3458521303589,1480.43734339479
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,106.1,34.3,1.82482618111494,1.41241309055747,1.41241309055747,1480.43734339479
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,90,31.4,1.61004458966463,1.30502229483232,1.30502229483232,1480.43734339479
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,94.7,28.6,1.57445413596587,1.28722706798293,1.28722706798293,1480.43734339479
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,119.3,25.9,1.71041798598184,1.35520899299092,1,1100
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,123.3,24,1.69314653258448,1.34657326629224,1,1100
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,72.4,18.4,1.11029774472081,1.05514887236041,1,1100
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,55.2,16,0.89965933395208,0.94982966697604,0.89965933395208,989.625267347288
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,65,12.8,0.89656260196953,0.948281300984765,1,1100
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,65,17,1.00977014913934,1.00488507456967,1,1100
58.9249416487366,29.8039957072857,90,18.55,14.35,25.9,1100,2200,64.4,26.2299793050901,1.25346543062846,1.12673271531423,1,1100
